img,imgTransferSize,imgActualSize,q-75,q-70,q-50,q-30,q-10
https://www.google.es/,45095,154651.0,,,,,
gsa_super_g-64.gif,22777,22232.0,33080.0,31694.0,26348.0,21012.0,14814
googlelogo_color_160x56dp.png,7406,7048.0,5808.0,5690.0,5244.0,4718.0,4284
searchbox_sprites317_hr.webp,1802,1700.0,1678.0,1680.0,1614.0,1576.0,1554
nav_logo325_hr.webp,5212,5096.0,5956.0,5850.0,5514.0,5122.0,4838
client_204?&atyp=i&biw=360&bih=640&dpr=2.625&mtp=1&ei=a0dkYuyxJYeChbIPjKOruAU,15,0.0,,,,,
home_icon.svg,486,232.0,,,,,
search_activity_icon.svg,366,393.0,,,,,
save_icon.svg,596,1016.0,,,,,
manage_searches_icon.svg,350,383.0,,,,,
settings_icon.svg,555,869.0,,,,,
privacy_advisor_icon.svg,504,745.0,,,,,
explicit_icon.svg,319,255.0,,,,,
how_search_works_icon.svg,384,440.0,,,,,
help_icon.svg,394,465.0,,,,,
feedback_icon.svg,274,273.0,,,,,
fp_204?atyp=i&ct=&cad=&ptt=1&ptid=19028794&client=throttler&authuser=0&ei=a0dkYuyxJYeChbIPjKOruAU&zx=1650739053758,21,0.0,,,,,
gen_204?atyp=i&ct=14&cad=i&ogsr=1&id=19028795&ic=1&ogd=google.es&ogprm=up&vet=10ahUKEwisk6eW6qr3AhUHQUEAHYzRClcQjW0IAQ.a0dkYuyxJYeChbIPjKOruAU.s&vis=1&ei=a0dkYuyxJYeChbIPjKOruAU&zx=1650739053759,14,0.0,,,,,
gen_204?atyp=i&ct=14&cad=e&ogsr=1&id=19028795&ic=1&ogd=google.es&ogprm=up&vis=1&ei=a0dkYuyxJYeChbIPjKOruAU&zx=1650739054129,14,0.0,,,,,
ui,0,0.0,,,,,
gen_204?atyp=i&ct=psnt&cad=&nt=navigate&ei=a0dkYuyxJYeChbIPjKOruAU&zx=1650739054328,14,0.0,,,,,
pageTransferSize,583656,,,,,,
totalByteWeight,1619580,,,,,,
